,Sales,Releases,Age,X360,Wii,XOne,WiiU,PS3,NS,PS4
Revolution (Japan)  ,0.0,0,9.0,0,0,0,0,0,0,0
Perp Games  ,0.07,1,1.0,0,0,0,0,0,0,1
Bandai Namco Games  ,4.15,12,6.0,0,0,1,0,1,1,1
Team Meat  ,0.01,1,2.0,0,0,0,0,0,0,1
ARUSH Entertainment  ,0.0,0,13.0,0,0,0,0,0,0,0
Vivendi Games  ,4.290000000000001,6,13.0,1,1,0,0,1,0,0
Nobilis  ,0.02,1,9.0,0,1,0,0,0,0,0
Mojang  ,7.14,5,3.0,1,0,1,1,1,0,1
PM Studios  ,0.11,3,1.0,0,0,0,0,0,1,1
Rare  ,0.0,0,19.0,0,0,0,0,0,0,0
PQube  ,0.6100000000000001,11,7.0,1,1,0,0,1,1,1
Atlus  ,22.010000000000005,42,24.0,1,1,0,0,1,0,1
Kalypso  ,2.18,6,8.0,1,0,0,0,1,0,0
Ongakukan  ,0.02,1,12.0,0,0,0,0,1,0,0
Bigben Interactive  ,1.12,16,3.0,1,0,1,0,1,1,1
Avalon Interactive  ,0.0,0,35.0,0,0,0,0,0,0,0
Little Orbit  ,2.8499999999999996,23,8.0,1,1,1,1,1,0,1
Team17 Software  ,0.43,2,2.0,0,0,0,0,0,0,1
D3Publisher  ,2.0500000000000007,20,6.0,1,1,0,1,1,0,1
Natsume  ,5.799999999999999,11,22.0,0,1,0,0,1,1,1
SouthPeak Interactive  ,7.510000000000001,24,19.0,1,1,0,0,1,0,0
MTO  ,0.0,0,20.0,0,0,0,0,0,0,0
Namco  ,1.0699999999999998,2,34.0,1,0,0,0,1,0,0
Core Design Ltd.  ,0.0,0,23.0,0,0,0,0,0,0,0
Xicat Interactive  ,0.0,0,16.0,0,0,0,0,0,0,0
Evolution Games  ,0.0,0,17.0,0,0,0,0,0,0,0
Kadokawa Games  ,0.08,3,4.0,0,0,0,0,1,0,1
THQ  ,185.40999999999988,187,22.0,1,1,0,1,1,0,0
Entergram  ,0.02,1,0.0,0,0,0,0,0,1,0
Views  ,0.02,1,4.0,0,0,0,0,1,0,0
Tecmo Koei  ,38.87000000000003,121,9.0,1,1,1,1,1,1,1
Gearbox Software  ,2.07,11,2.0,0,0,1,0,0,1,1
Coconuts Japan   ,0.0,0,25.0,0,0,0,0,0,0,0
Nordic Games  ,7.42,32,9.0,1,1,1,1,1,0,1
Hip Interactive  ,0.0,0,15.0,0,0,0,0,0,0,0
